Launch 1,,,Launch 2,,,Launch 3,,,Launch 4,,,Launch 5,,,
Location,Arrival,Departure,Location,Arrival,Departure,Location,Arrival,Departure,Location,Arrival,Departure,Location,Arrival,Departure,
Port West,NA,9:0,Port West,NA,9:0,Port West,NA,9:0,Port MSP,NA,9:0,Port MSP,NA,9:0,,,,,,,
Z28,9:41,9:43,Port West,9:0,NA,Z22,9:40,9:45,Z04,9:51,9:54,Z06,9:37,9:40,,,,,,,
Z27,9:49,9:58,,,,Z23,9:49,9:56,Z03,9:58,10:0,Z11,10:3,10:8,,,,,,,
Z29,10:9,10:12,,,,Z25,10:8,10:10,Z01,10:13,10:16,Z08,10:20,10:26,,,,,,,
Port West,10:52,NA,,,,Port West,10:37,NA,Port MSP,11:23,NA,Port MSP,10:52,NA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Port West,NA,11:30,Port West,NA,11:30,Port West,NA,11:30,Port MSP,NA,11:30,Port MSP,NA,11:30,,,,,,,
Z18,12:38,12:41,Port West,11:30,NA,Z24,12:0,12:8,Z14,11:31,11:34,Z07,12:7,12:8,,,,,,,
Z21,12:54,12:55,,,,Z27,12:27,12:30,Z16,11:39,11:47,Z01,12:44,12:47,,,,,,,
Port West,13:56,NA,,,,Z30,12:50,12:53,Port MSP,11:53,NA,Z02,12:52,12:55,,,,,,,
,,,,,,Port West,13:25,NA,,,,Port MSP,13:57,NA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
